task,batch_id,slot_id,weight
finqa,0,3637,1179
finqa,0,2707,1172
finqa,0,811,1171
finqa,0,1422,1169
finqa,0,1793,1169
finqa,0,846,1159
finqa,0,3634,1155
finqa,0,301,1151
finqa,0,126,1145
finqa,0,1400,1144
finqa,0,2614,1143
finqa,0,2458,1142
finqa,0,3012,1137
finqa,0,658,1134
finqa,0,890,1127
finqa,0,2244,1123
finqa,0,607,1116
finqa,0,2153,1115
finqa,0,18,1105
finqa,0,3000,1104
finqa,0,3158,1101
finqa,0,2445,1101
finqa,0,582,1090
finqa,0,1322,1086
finqa,0,2948,1086
finqa,0,845,1081
finqa,0,3845,1073
finqa,0,1151,1067
finqa,0,3728,1062
finqa,0,3251,1057
finqa,0,2363,1050
finqa,0,1434,1047
finqa,0,2866,1044
finqa,0,79,1037
finqa,0,229,1034
finqa,0,3935,1033
finqa,0,1790,1027
finqa,0,656,1019
finqa,0,732,1016
finqa,0,1678,1011
finqa,0,2317,1007
finqa,0,2280,1005
finqa,0,3639,999
finqa,0,1479,992
finqa,0,1205,983
finqa,0,738,978
finqa,0,1517,977
finqa,0,1721,974
finqa,0,4077,973
finqa,0,15,970
finqa,0,2761,970
finqa,0,724,963
finqa,0,3084,963
finqa,0,255,961
finqa,0,1420,960
finqa,0,1282,958
finqa,0,1872,950
finqa,0,3126,950
finqa,0,3971,949
finqa,0,1824,947
finqa,0,1644,946
finqa,0,265,944
finqa,0,2611,943
finqa,0,2644,939
finqa,0,765,937
finqa,0,3039,936
finqa,0,179,931
finqa,0,17,931
finqa,0,3982,920
finqa,0,1008,919
finqa,0,2091,916
finqa,0,6,913
finqa,0,2934,910
finqa,0,3018,908
finqa,0,231,906
finqa,0,3649,906
finqa,0,2610,904
finqa,0,2441,903
finqa,0,2269,898
finqa,0,3742,895
finqa,0,893,885
finqa,0,2482,885
finqa,0,1944,882
finqa,0,3123,879
finqa,0,3853,879
finqa,0,446,878
finqa,0,3408,877
finqa,0,932,873
finqa,0,57,872
finqa,0,456,868
finqa,0,809,865
finqa,0,2975,862
finqa,0,751,862
finqa,0,3839,861
finqa,0,3672,861
finqa,0,3605,856
finqa,0,3679,853
finqa,0,1935,850
finqa,0,3269,850
finqa,0,91,848
finqa,0,3100,847
finqa,0,725,845
finqa,0,2430,845
finqa,0,28,843
finqa,0,2913,841
finqa,0,3495,840
finqa,0,3226,836
finqa,0,1799,832
finqa,0,3370,832
finqa,0,944,831
finqa,0,2656,831
finqa,0,972,830
finqa,0,54,829
finqa,0,3662,827
finqa,0,155,825
finqa,0,3795,824
finqa,0,1303,824
finqa,0,2474,823
finqa,0,2357,819
finqa,0,1627,817
finqa,0,3040,812
finqa,0,3582,810
finqa,0,2321,810
finqa,0,272,808
finqa,0,1598,806
finqa,0,2527,806
finqa,0,1665,802
finqa,0,2362,801
finqa,0,1476,795
finqa,0,3851,794
finqa,0,674,791
finqa,0,3246,790
finqa,0,1938,790
finqa,0,1220,787
finqa,0,1494,783
finqa,0,2687,782
finqa,0,56,782
finqa,0,3723,781
finqa,0,3278,777
finqa,0,2380,774
finqa,0,269,772
finqa,0,322,768
finqa,0,3365,765
finqa,0,3366,763
finqa,0,1808,762
finqa,0,1283,753
finqa,0,1895,752
finqa,0,1252,751
finqa,0,3766,748
finqa,0,1215,747
finqa,0,3690,745
finqa,0,3539,744
finqa,0,3359,740
finqa,0,2219,737
finqa,0,4084,735
finqa,0,1509,730
finqa,0,3685,728
finqa,0,332,727
finqa,0,1762,727
finqa,0,3379,724
finqa,0,345,717
finqa,0,2598,717
finqa,0,2791,716
finqa,0,1870,711
finqa,0,3183,709
finqa,0,1235,708
finqa,0,1931,708
finqa,0,3320,708
finqa,0,2594,707
finqa,0,2995,701
finqa,0,3861,695
finqa,0,2146,693
finqa,0,1238,684
finqa,0,1710,682
finqa,0,2557,680
finqa,0,3157,678
finqa,0,2347,678
finqa,0,1932,677
finqa,0,2685,677
finqa,0,3980,671
finqa,0,3314,670
finqa,0,3636,669
finqa,0,755,665
finqa,0,951,664
finqa,0,3395,664
finqa,0,190,664
finqa,0,1118,662
finqa,0,2692,661
finqa,0,285,660
finqa,0,3696,658
finqa,0,1984,656
finqa,0,2758,653
finqa,0,2182,651
finqa,0,1750,650
finqa,0,2885,650
finqa,0,2050,649
finqa,0,3738,648
finqa,0,1788,645
finqa,0,3765,644
finqa,0,403,643
finqa,0,3811,643
finqa,0,2425,642
finqa,0,1632,638
finqa,0,1290,638
finqa,0,441,637
finqa,0,1570,634
finqa,0,1030,632
finqa,0,30,631
finqa,0,1102,630
finqa,0,3744,627
finqa,0,4092,626
finqa,0,3446,625
finqa,0,252,624
finqa,0,950,622
finqa,0,2956,620
finqa,0,795,619
finqa,0,142,617
finqa,0,2967,617
finqa,0,4071,617
finqa,0,1510,616
finqa,0,89,615
finqa,0,1731,613
finqa,0,825,612
finqa,0,2682,611
finqa,0,453,610
finqa,0,2205,610
finqa,0,1263,609
finqa,0,2372,609
finqa,0,2695,606
finqa,0,663,605
finqa,0,2690,604
finqa,0,282,604
finqa,0,274,602
finqa,0,36,602
finqa,0,1318,601
finqa,0,1425,599
finqa,0,2403,596
finqa,0,3730,595
finqa,0,2964,593
finqa,0,295,591
finqa,0,1883,588
finqa,0,2271,588
finqa,0,2335,587
finqa,0,1615,586
finqa,0,2503,586
finqa,0,42,585
finqa,0,2969,585
finqa,0,3112,584
finqa,0,2085,581
finqa,0,1634,581
finqa,0,3977,580
finqa,0,312,578
finqa,0,1611,578
finqa,0,3836,577
finqa,0,1486,572
finqa,0,1122,571
finqa,0,1299,565
finqa,0,1114,564
finqa,0,1599,563
finqa,0,891,563
finqa,0,1329,561
finqa,0,1727,560
finqa,0,2984,558
finqa,0,3221,558
finqa,0,3240,557
finqa,0,242,553
finqa,0,3513,553
finqa,0,3282,553
finqa,0,2665,548
finqa,0,1019,548
finqa,0,3360,545
finqa,0,998,544
finqa,0,421,544
finqa,0,1807,541
finqa,0,365,539
finqa,0,2654,539
finqa,0,113,538
finqa,0,586,538
finqa,0,3741,534
finqa,0,2428,533
finqa,0,2292,532
finqa,0,2565,529
finqa,0,2077,528
finqa,0,2212,527
finqa,0,3587,526
finqa,0,69,526
finqa,0,1284,526
finqa,0,1524,522
finqa,0,1014,520
finqa,0,1086,518
finqa,0,651,516
finqa,0,1752,515
finqa,0,4048,515
finqa,0,1033,514
finqa,0,1446,514
finqa,0,1350,513
finqa,0,508,513
finqa,0,801,513
finqa,0,1108,511
finqa,0,224,511
finqa,0,2968,510
finqa,0,616,510
finqa,0,2226,508
finqa,0,2973,507
finqa,0,2086,506
finqa,0,875,506
finqa,0,1757,502
finqa,0,2016,502
finqa,0,2999,502
finqa,0,3228,501
finqa,0,1053,499
finqa,0,3502,499
finqa,0,805,498
finqa,0,268,497
gsm8k,0,760,48116
gsm8k,0,2957,43844
gsm8k,0,1913,43714
gsm8k,0,46,43714
gsm8k,0,3042,43648
gsm8k,0,3091,43587
gsm8k,0,4006,43581
gsm8k,0,3211,43580
gsm8k,0,136,10606
gsm8k,0,2528,10017
gsm8k,0,27,9892
gsm8k,0,1038,9647
gsm8k,0,2352,8973
gsm8k,0,662,8566
gsm8k,0,383,8474
gsm8k,0,37,8458
gsm8k,0,2247,8387
gsm8k,0,2659,8367
gsm8k,0,2848,6556
gsm8k,0,210,5944
gsm8k,0,3330,5733
gsm8k,0,3693,5697
gsm8k,0,2282,5254
gsm8k,0,3616,5252
gsm8k,0,2429,5247
gsm8k,0,2435,5246
gsm8k,0,3150,5128
gsm8k,0,695,5106
gsm8k,0,724,4769
gsm8k,0,4085,4717
gsm8k,0,2891,4605
gsm8k,0,95,4549
gsm8k,0,402,4482
gsm8k,0,1935,4353
gsm8k,0,882,4231
gsm8k,0,1482,4147
gsm8k,0,432,4037
gsm8k,0,3642,3937
gsm8k,0,1995,3770
gsm8k,0,2567,3599
gsm8k,0,1387,3576
gsm8k,0,1912,3496
gsm8k,0,1712,3435
gsm8k,0,843,3409
gsm8k,0,908,3398
gsm8k,0,1146,3366
gsm8k,0,922,3340
gsm8k,0,3370,3287
gsm8k,0,3364,3264
gsm8k,0,1893,3246
gsm8k,0,3434,3223
gsm8k,0,1116,3185
gsm8k,0,2415,3129
gsm8k,0,245,3089
gsm8k,0,3235,3077
gsm8k,0,3720,3049
gsm8k,0,167,2978
gsm8k,0,1879,2972
gsm8k,0,1217,2972
gsm8k,0,2472,2961
gsm8k,0,3338,2946
gsm8k,0,2181,2862
gsm8k,0,1771,2799
gsm8k,0,1822,2727
gsm8k,0,2500,2705
gsm8k,0,3611,2700
gsm8k,0,1757,2698
gsm8k,0,3306,2684
gsm8k,0,3436,2679
gsm8k,0,1747,2676
gsm8k,0,3171,2651
gsm8k,0,3231,2638
gsm8k,0,3555,2602
gsm8k,0,3754,2585
gsm8k,0,1353,2578
gsm8k,0,54,2570
gsm8k,0,1047,2565
gsm8k,0,3859,2562
gsm8k,0,2810,2559
gsm8k,0,2317,2551
gsm8k,0,3906,2525
gsm8k,0,2336,2505
gsm8k,0,2445,2499
gsm8k,0,1058,2462
gsm8k,0,1007,2445
gsm8k,0,1366,2443
gsm8k,0,1721,2430
gsm8k,0,3762,2417
gsm8k,0,1488,2365
gsm8k,0,1274,2360
gsm8k,0,1063,2349
gsm8k,0,509,2341
gsm8k,0,2430,2282
gsm8k,0,1218,2279
gsm8k,0,3269,2276
gsm8k,0,3005,2272
gsm8k,0,6,2272
gsm8k,0,3515,2251
gsm8k,0,1060,2214
gsm8k,0,3402,2197
gsm8k,0,4080,2176
gsm8k,0,3158,2171
gsm8k,0,678,2170
gsm8k,0,2274,2092
gsm8k,0,1006,2090
gsm8k,0,2214,2081
gsm8k,0,1714,2045
gsm8k,0,839,1985
gsm8k,0,4026,1975
gsm8k,0,149,1972
gsm8k,0,3285,1966
gsm8k,0,2616,1965
gsm8k,0,1430,1938
gsm8k,0,1111,1934
gsm8k,0,508,1926
gsm8k,0,1897,1903
gsm8k,0,944,1897
gsm8k,0,3742,1873
gsm8k,0,476,1859
gsm8k,0,3214,1855
gsm8k,0,1067,1840
gsm8k,0,1162,1832
gsm8k,0,2677,1828
gsm8k,0,3678,1824
gsm8k,0,3344,1798
gsm8k,0,343,1793
gsm8k,0,2972,1774
gsm8k,0,329,1740
gsm8k,0,3179,1740
gsm8k,0,2975,1733
gsm8k,0,2594,1732
gsm8k,0,4087,1729
gsm8k,0,3723,1723
gsm8k,0,1360,1713
gsm8k,0,1574,1713
gsm8k,0,2183,1706
gsm8k,0,643,1704
gsm8k,0,1969,1704
gsm8k,0,620,1700
gsm8k,0,2360,1694
gsm8k,0,3368,1694
gsm8k,0,1824,1693
gsm8k,0,1378,1682
gsm8k,0,125,1681
gsm8k,0,1895,1678
gsm8k,0,638,1667
gsm8k,0,674,1662
gsm8k,0,562,1659
gsm8k,0,3278,1654
gsm8k,0,468,1652
gsm8k,0,2236,1640
gsm8k,0,301,1626
gsm8k,0,3408,1623
gsm8k,0,3100,1614
gsm8k,0,2471,1611
gsm8k,0,3495,1608
gsm8k,0,2987,1591
gsm8k,0,3422,1591
gsm8k,0,3826,1585
gsm8k,0,710,1583
gsm8k,0,2321,1577
gsm8k,0,341,1574
gsm8k,0,3660,1558
gsm8k,0,1702,1551
gsm8k,0,3853,1530
gsm8k,0,1944,1528
gsm8k,0,3845,1525
gsm8k,0,753,1519
gsm8k,0,2088,1505
gsm8k,0,3730,1504
gsm8k,0,4067,1500
gsm8k,0,1018,1493
gsm8k,0,2994,1489
gsm8k,0,2067,1483
gsm8k,0,1422,1483
gsm8k,0,1706,1482
gsm8k,0,2527,1470
gsm8k,0,2697,1458
gsm8k,0,3980,1449
gsm8k,0,67,1442
gsm8k,0,2761,1441
gsm8k,0,3765,1441
gsm8k,0,3727,1428
gsm8k,0,2244,1424
gsm8k,0,2816,1419
gsm8k,0,345,1414
gsm8k,0,542,1412
gsm8k,0,1648,1411
gsm8k,0,322,1410
gsm8k,0,3499,1402
gsm8k,0,2599,1401
gsm8k,0,651,1397
gsm8k,0,3935,1395
gsm8k,0,3359,1391
gsm8k,0,1736,1385
gsm8k,0,2149,1369
gsm8k,0,656,1367
gsm8k,0,101,1358
gsm8k,0,3051,1357
gsm8k,0,235,1353
gsm8k,0,3962,1351
gsm8k,0,2526,1351
gsm8k,0,1476,1350
gsm8k,0,3901,1350
gsm8k,0,3709,1345
gsm8k,0,628,1333
gsm8k,0,529,1318
gsm8k,0,1906,1307
gsm8k,0,3041,1306
gsm8k,0,4077,1301
gsm8k,0,3776,1294
gsm8k,0,1799,1293
gsm8k,0,640,1289
gsm8k,0,809,1275
gsm8k,0,1622,1270
gsm8k,0,845,1270
gsm8k,0,83,1262
gsm8k,0,118,1258
gsm8k,0,3260,1246
gsm8k,0,71,1242
gsm8k,0,3043,1238
gsm8k,0,2573,1238
gsm8k,0,834,1227
gsm8k,0,2557,1224
gsm8k,0,657,1223
gsm8k,0,384,1222
gsm8k,0,1344,1216
gsm8k,0,1145,1214
gsm8k,0,3361,1212
gsm8k,0,3876,1211
gsm8k,0,2482,1209
gsm8k,0,1710,1209
gsm8k,0,1598,1207
gsm8k,0,2052,1202
gsm8k,0,1098,1191
gsm8k,0,3145,1187
gsm8k,0,3047,1185
gsm8k,0,2339,1177
gsm8k,0,2924,1177
gsm8k,0,550,1174
gsm8k,0,1846,1170
gsm8k,0,2131,1165
gsm8k,0,3639,1163
gsm8k,0,2950,1159
gsm8k,0,126,1158
gsm8k,0,732,1154
gsm8k,0,1694,1154
gsm8k,0,846,1153
gsm8k,0,1478,1149
gsm8k,0,2025,1148
gsm8k,0,2656,1144
gsm8k,0,2349,1142
gsm8k,0,1044,1141
gsm8k,0,2896,1141
gsm8k,0,1033,1139
gsm8k,0,3607,1135
gsm8k,0,3032,1129
gsm8k,0,1517,1129
gsm8k,0,1709,1116
gsm8k,0,3431,1110
gsm8k,0,56,1108
gsm8k,0,3075,1103
gsm8k,0,3595,1100
gsm8k,0,3054,1097
gsm8k,0,2512,1076
gsm8k,0,2105,1074
gsm8k,0,255,1074
gsm8k,0,209,1071
gsm8k,0,2363,1065
gsm8k,0,2591,1033
gsm8k,0,1210,1022
gsm8k,0,4079,1011
gsm8k,0,575,1009
gsm8k,0,801,1003
gsm8k,0,2027,1003
gsm8k,0,24,1002
gsm8k,0,176,997
gsm8k,0,131,995
gsm8k,0,2298,994
gsm8k,0,3040,994
gsm8k,0,925,987
gsm8k,0,3426,986
gsm8k,0,958,982
gsm8k,0,999,980
gsm8k,0,1264,971
gsm8k,0,2866,967
gsm8k,0,1740,966
gsm8k,0,2543,964
gsm8k,0,3890,945
gsm8k,0,2919,940
gsm8k,0,989,940
gsm8k,0,1566,937
gsm8k,0,3432,932
gsm8k,0,963,932
gsm8k,0,1678,931
gsm8k,0,3251,927
gsm8k,0,2863,925
gsm8k,0,3798,923
gsm8k,0,3679,914
gsm8k,0,2951,909
gsm8k,0,1085,907
gsm8k,0,1575,906
gsm8k,0,3971,905
gsm8k,0,427,899
gsm8k,0,1068,894
gsm8k,0,893,892
gsm8k,0,3629,890
gsm8k,0,3107,890
gsm8k,0,3621,888
gsm8k,0,2219,886
gsm8k,0,2024,882
gsm8k,0,3416,880
gsm8k,0,1931,869
gsm8k,0,3839,868
gsm8k,0,1181,864
gsm8k,0,4092,862
gsm8k,0,354,860
gsm8k,0,3228,858
gsm8k,0,179,856
gsm8k,0,3670,854
gsm8k,0,48,849
gsm8k,0,3744,849
gsm8k,0,2091,846
gsm8k,0,1008,842
gsm8k,0,3696,841
gsm8k,0,3728,839
gsm8k,0,2448,839
gsm8k,0,486,835
gsm8k,0,3000,834
gsm8k,0,2829,831
gsm8k,0,1157,831
gsm8k,0,2134,830
gsm8k,0,3012,825
gsm8k,0,2182,825
gsm8k,0,1564,824
gsm8k,0,243,824
gsm8k,0,1446,823
gsm8k,0,1938,822
gsm8k,0,65,820
gsm8k,0,2777,815
gsm8k,0,1283,814
gsm8k,0,1442,814
gsm8k,0,932,813
gsm8k,0,597,811
gsm8k,0,1404,811
gsm8k,0,1238,809
gsm8k,0,1282,808
gsm8k,0,3403,802
gsm8k,0,2967,801
gsm8k,0,3157,800
gsm8k,0,2619,791
gsm8k,0,2838,790
gsm8k,0,1066,784
gsm8k,0,2325,783
gsm8k,0,2137,782
gsm8k,0,2357,781
gsm8k,0,1790,781
gsm8k,0,594,781
gsm8k,0,265,780
gsm8k,0,848,778
gsm8k,0,3123,778
gsm8k,0,765,775
gsm8k,0,2020,771
gsm8k,0,1509,768
gsm8k,0,3690,765
gsm8k,0,2403,764
gsm8k,0,1003,761
gsm8k,0,1877,758
gsm8k,0,3649,753
gsm8k,0,3717,750
gsm8k,0,607,749
gsm8k,0,1701,748
gsm8k,0,2913,740
gsm8k,0,142,738
gsm8k,0,2714,735
gsm8k,0,222,734
gsm8k,0,1091,732
gsm8k,0,968,729
gsm8k,0,2077,727
gsm8k,0,358,724
gsm8k,0,582,721
gsm8k,0,168,720
gsm8k,0,2969,720
gsm8k,0,795,718
gsm8k,0,1309,714
gsm8k,0,2399,714
gsm8k,0,1889,713
gsm8k,0,1549,711
gsm8k,0,587,706
gsm8k,0,2590,702
gsm8k,0,1981,692
gsm8k,0,3615,686
gsm8k,0,1101,686
gsm8k,0,3992,685
gsm8k,0,3153,685
gsm8k,0,661,682
gsm8k,0,3247,679
gsm8k,0,2248,679
gsm8k,0,421,678
gsm8k,0,3080,677
gsm8k,0,998,675
gsm8k,0,1644,670
gsm8k,0,1957,669
gsm8k,0,3582,669
gsm8k,0,1316,668
gsm8k,0,3884,666
gsm8k,0,2908,665
gsm8k,0,3882,665
gsm8k,0,174,662
gsm8k,0,1520,660
gsm8k,0,3537,660
gsm8k,0,3060,658
gsm8k,0,727,656
gsm8k,0,1215,654
gsm8k,0,3010,652
gsm8k,0,869,652
gsm8k,0,1513,649
gsm8k,0,2502,648
gsm8k,0,3969,647
gsm8k,0,1262,645
gsm8k,0,1485,645
gsm8k,0,610,641
gsm8k,0,2269,638
gsm8k,0,1078,638
gsm8k,0,3915,637
gsm8k,0,474,632
gsm8k,0,456,630
gsm8k,0,2475,630
gsm8k,0,254,627
gsm8k,0,3689,623
gsm8k,0,1514,620
gsm8k,0,4060,619
gsm8k,0,2692,617
gsm8k,0,1252,616
gsm8k,0,2222,613
gsm8k,0,3320,610
gsm8k,0,1665,610
gsm8k,0,3355,609
gsm8k,0,1425,609
gsm8k,0,104,606
gsm8k,0,422,604
gsm8k,0,30,603
gsm8k,0,2712,603
gsm8k,0,3761,601
gsm8k,0,3308,599
gsm8k,0,137,597
gsm8k,0,1723,592
gsm8k,0,274,587
gsm8k,0,1731,587
gsm8k,0,2983,585
gsm8k,0,173,583
gsm8k,0,1297,582
gsm8k,0,1503,578
gsm8k,0,3605,575
gsm8k,0,3033,574
gsm8k,0,3795,574
gsm8k,0,3418,574
gsm8k,0,2648,570
gsm8k,0,3198,570
gsm8k,0,3575,569
gsm8k,0,3539,566
gsm8k,0,2083,564
gsm8k,0,29,563
gsm8k,0,3590,561
gsm8k,0,229,560
gsm8k,0,1401,557
gsm8k,0,2565,555
gsm8k,0,79,554
gsm8k,0,367,553
gsm8k,0,2484,548
gsm8k,0,1943,546
gsm8k,0,2558,544
gsm8k,0,2194,542
gsm8k,0,2696,540
gsm8k,0,1585,540
gsm8k,0,4058,539
gsm8k,0,2811,539
gsm8k,0,1293,538
gsm8k,0,57,536
gsm8k,0,1350,532
gsm8k,0,1400,531
gsm8k,0,1108,531
gsm8k,0,3610,531
gsm8k,0,520,530
gsm8k,0,3637,525
gsm8k,0,2205,521
gsm8k,0,3635,520
gsm8k,0,2665,518
gsm8k,0,1042,518
gsm8k,0,1762,517
gsm8k,0,2461,516
gsm8k,0,2499,509
gsm8k,0,2871,507
gsm8k,0,1134,507
gsm8k,0,595,505
gsm8k,0,410,505
gsm8k,0,4002,503
gsm8k,0,3084,496
gsm8k,0,1441,495
gsm8k,0,3558,494
gsm8k,0,2428,492
gsm8k,0,180,490
gsm8k,0,2780,487
gsm8k,0,2050,486
gsm8k,0,2934,486
gsm8k,0,711,486
gsm8k,0,2217,484
gsm8k,0,3685,482
gsm8k,0,230,481
gsm8k,0,2916,480
gsm8k,0,1114,480
gsm8k,0,3039,478
humaneval,0,760,44916
humaneval,0,1913,44125
humaneval,0,3211,44071
humaneval,0,2957,44044
humaneval,0,3091,44044
humaneval,0,4006,44044
humaneval,0,46,44044
humaneval,0,3042,44044
humaneval,0,3330,22185
humaneval,0,2247,19048
humaneval,0,3813,18682
humaneval,0,758,18619
humaneval,0,380,18604
humaneval,0,785,18604
humaneval,0,2241,18604
humaneval,0,1958,18604
humaneval,0,59,18424
humaneval,0,3150,16345
humaneval,0,3171,15821
humaneval,0,1387,12576
humaneval,0,3197,11758
humaneval,0,3796,11486
humaneval,0,1146,11454
humaneval,0,263,11391
humaneval,0,753,11243
humaneval,0,1564,11099
humaneval,0,3000,10988
humaneval,0,255,10988
humaneval,0,765,10988
humaneval,0,2091,10988
humaneval,0,2336,10988
humaneval,0,1007,10987
humaneval,0,537,10977
humaneval,0,872,10963
humaneval,0,2339,10337
humaneval,0,2061,10285
humaneval,0,1208,10281
humaneval,0,1522,10276
humaneval,0,60,10276
humaneval,0,2959,10276
humaneval,0,2052,10276
humaneval,0,1972,8163
humaneval,0,36,8150
humaneval,0,2515,8134
humaneval,0,3476,8131
humaneval,0,314,8131
humaneval,0,1720,8131
humaneval,0,27,7051
humaneval,0,3566,7048
humaneval,0,710,6685
humaneval,0,2270,6460
humaneval,0,1106,6454
humaneval,0,2363,6436
humaneval,0,3158,6433
humaneval,0,2352,6425
humaneval,0,1882,6420
humaneval,0,2533,6417
humaneval,0,3509,6417
humaneval,0,3608,6417
humaneval,0,95,6223
humaneval,0,2278,6188
humaneval,0,4084,6101
humaneval,0,3693,6040
humaneval,0,2479,5832
humaneval,0,3416,5548
humaneval,0,2441,5542
humaneval,0,3436,5533
humaneval,0,332,5426
humaneval,0,2967,5359
humaneval,0,243,5322
humaneval,0,1390,5302
humaneval,0,1634,5230
humaneval,0,1053,5223
humaneval,0,3756,5217
humaneval,0,750,5201
humaneval,0,1879,5198
humaneval,0,1824,5061
humaneval,0,3742,4850
humaneval,0,2975,4846
humaneval,0,674,4833
humaneval,0,3278,4833
humaneval,0,136,4526
humaneval,0,2532,4515
humaneval,0,268,4509
humaneval,0,2683,4501
humaneval,0,670,4501
humaneval,0,2085,4501
humaneval,0,2182,4485
humaneval,0,4039,3995
humaneval,0,3270,3969
humaneval,0,695,3963
humaneval,0,3789,3955
humaneval,0,3814,3948
humaneval,0,3007,3948
humaneval,0,2692,3935
humaneval,0,995,3932
humaneval,0,3872,3925
humaneval,0,2518,3925
humaneval,0,2804,3925
humaneval,0,1008,3751
humaneval,0,843,3639
humaneval,0,1060,3495
humaneval,0,599,3464
humaneval,0,1760,3431
humaneval,0,3625,3396
humaneval,0,830,3375
humaneval,0,3217,3373
humaneval,0,1775,3371
humaneval,0,3119,3371
humaneval,0,4085,3244
humaneval,0,2181,3230
