task_from,slot_old,task_to,slot_new,weight
finqa,3742,finqa,8369,895
finqa,476,finqa,476,1297
gsm8k,476,gsm8k,8370,1859
gsm8k,3214,gsm8k,3214,1855
gsm8k,1067,gsm8k,1067,1840
finqa,1162,finqa,1162,1187
gsm8k,1162,gsm8k,8371,1832
gsm8k,2677,gsm8k,2677,1828
gsm8k,3678,gsm8k,3678,1824
humaneval,3678,humaneval,8372,319
finqa,3344,finqa,3344,1782
gsm8k,3344,gsm8k,8373,1798
humaneval,3344,humaneval,8374,1924
finqa,343,finqa,343,2893
gsm8k,343,gsm8k,8375,1793
finqa,2972,finqa,2972,2574
gsm8k,2972,gsm8k,8376,1774
humaneval,2972,humaneval,8377,466
gsm8k,329,gsm8k,329,1740
finqa,3179,finqa,3179,2956
gsm8k,3179,gsm8k,8378,1740
humaneval,3179,humaneval,8379,451
humaneval,2975,humaneval,2975,4846
gsm8k,2975,gsm8k,8380,1733
finqa,2975,finqa,8381,862
finqa,2594,finqa,2594,707
gsm8k,2594,gsm8k,8382,1732
humaneval,2594,humaneval,8383,255
finqa,4087,finqa,4087,1261
gsm8k,4087,gsm8k,8384,1729
humaneval,4087,humaneval,8385,1895
humaneval,3723,humaneval,3723,1848
gsm8k,3723,gsm8k,8386,1723
finqa,3723,finqa,8387,781
finqa,1360,finqa,1360,1484
gsm8k,1360,gsm8k,8388,1713
finqa,1574,finqa,1574,1507
gsm8k,1574,gsm8k,8389,1713
gsm8k,2183,gsm8k,2183,1706
humaneval,2183,humaneval,8390,621
gsm8k,643,gsm8k,643,1704
gsm8k,1969,gsm8k,1969,1704
gsm8k,620,gsm8k,620,1700
finqa,2360,finqa,2360,1339
gsm8k,2360,gsm8k,8391,1694
finqa,3368,finqa,3368,2019
gsm8k,3368,gsm8k,8392,1694
humaneval,3368,humaneval,8393,623
humaneval,1824,humaneval,1824,5061
gsm8k,1824,gsm8k,8394,1693
finqa,1824,finqa,8395,947
finqa,1378,finqa,1378,3948
gsm8k,1378,gsm8k,8396,1682
humaneval,1378,humaneval,8397,937
finqa,125,finqa,125,4138
gsm8k,125,gsm8k,8398,1681
finqa,1895,finqa,1895,752
gsm8k,1895,gsm8k,8399,1678
humaneval,1895,humaneval,8400,1600
finqa,638,finqa,638,1209
gsm8k,638,gsm8k,8401,1667
humaneval,638,humaneval,8402,1846
humaneval,674,humaneval,674,4833
gsm8k,674,gsm8k,8403,1662
finqa,674,finqa,8404,791
finqa,562,finqa,562,2321
gsm8k,562,gsm8k,8405,1659
humaneval,3278,humaneval,3278,4833
gsm8k,3278,gsm8k,8406,1654
finqa,3278,finqa,8407,777
gsm8k,468,gsm8k,468,1652
gsm8k,2236,gsm8k,2236,1640
finqa,301,finqa,301,1151
gsm8k,301,gsm8k,8408,1626
humaneval,301,humaneval,8409,246
finqa,3408,finqa,3408,877
gsm8k,3408,gsm8k,8410,1623
humaneval,3408,humaneval,8411,441
finqa,3100,finqa,3100,847
gsm8k,3100,gsm8k,8412,1614
gsm8k,2471,gsm8k,2471,1611
finqa,3495,finqa,3495,840
gsm8k,3495,gsm8k,8413,1608
gsm8k,2987,gsm8k,2987,1591
humaneval,2987,humaneval,8414,583
gsm8k,3422,gsm8k,3422,1591
finqa,3826,finqa,3826,1188
gsm8k,3826,gsm8k,8415,1585
finqa,710,finqa,710,3326
gsm8k,710,gsm8k,8416,1583
humaneval,710,humaneval,8417,6685
finqa,2321,finqa,2321,810
gsm8k,2321,gsm8k,8418,1577
humaneval,2321,humaneval,8419,184
finqa,341,finqa,341,1619
gsm8k,341,gsm8k,8420,1574
gsm8k,3660,gsm8k,3660,1558
humaneval,3660,humaneval,8421,597
finqa,1702,finqa,1702,1368
gsm8k,1702,gsm8k,8422,1551
humaneval,1702,humaneval,8423,506
finqa,3853,finqa,3853,879
gsm8k,3853,gsm8k,8424,1530
humaneval,3853,humaneval,8425,1615
finqa,1944,finqa,1944,882
gsm8k,1944,gsm8k,8426,1528
finqa,3845,finqa,3845,1073
gsm8k,3845,gsm8k,8427,1525
humaneval,753,humaneval,753,11243
gsm8k,753,gsm8k,8428,1519
finqa,753,finqa,8429,1576
humaneval,2088,humaneval,2088,2700
gsm8k,2088,gsm8k,8430,1505
gsm8k,3730,gsm8k,3730,1504
finqa,3730,finqa,8431,595
finqa,4067,finqa,4067,1672
gsm8k,4067,gsm8k,8432,1500
humaneval,4067,humaneval,8433,648
finqa,1018,finqa,1018,1959
gsm8k,1018,gsm8k,8434,1493
humaneval,1018,humaneval,8435,219
gsm8k,2994,gsm8k,2994,1489
gsm8k,2067,gsm8k,2067,1483
finqa,1422,finqa,1422,1169
gsm8k,1422,gsm8k,8436,1483
humaneval,1422,humaneval,8437,298
gsm8k,1706,gsm8k,1706,1482
finqa,2527,finqa,2527,806
gsm8k,2527,gsm8k,8438,1470
humaneval,2527,humaneval,8439,740
finqa,2697,finqa,2697,1417
gsm8k,2697,gsm8k,8440,1458
finqa,3980,finqa,3980,671
gsm8k,3980,gsm8k,8441,1449
finqa,67,finqa,67,3396
gsm8k,67,gsm8k,8442,1442
humaneval,67,humaneval,8443,572
finqa,2761,finqa,2761,970
gsm8k,2761,gsm8k,8444,1441
finqa,3765,finqa,3765,644
gsm8k,3765,gsm8k,8445,1441
humaneval,3765,humaneval,8446,368
gsm8k,3727,gsm8k,3727,1428
finqa,2244,finqa,2244,1123
gsm8k,2244,gsm8k,8447,1424
humaneval,2244,humaneval,8448,1895
finqa,2816,finqa,2816,1334
gsm8k,2816,gsm8k,8449,1419
humaneval,2816,humaneval,8450,1686
finqa,345,finqa,345,717
gsm8k,345,gsm8k,8451,1414
humaneval,542,humaneval,542,1600
gsm8k,542,gsm8k,8452,1412
finqa,1648,finqa,1648,3432
gsm8k,1648,gsm8k,8453,1411
finqa,322,finqa,322,768
gsm8k,322,gsm8k,8454,1410
finqa,3499,finqa,3499,2507
gsm8k,3499,gsm8k,8455,1402
gsm8k,2599,gsm8k,2599,1401
humaneval,651,humaneval,651,1667
gsm8k,651,gsm8k,8456,1397
finqa,651,finqa,8457,516
finqa,3935,finqa,3935,1033
gsm8k,3935,gsm8k,8458,1395
humaneval,3935,humaneval,8459,620
finqa,3359,finqa,3359,740
gsm8k,3359,gsm8k,8460,1391
gsm8k,1736,gsm8k,1736,1385
finqa,2149,finqa,2149,1678
gsm8k,2149,gsm8k,8461,1369
humaneval,2149,humaneval,8462,633
finqa,656,finqa,656,1019
gsm8k,656,gsm8k,8463,1367
finqa,101,finqa,101,1350
gsm8k,101,gsm8k,8464,1358
humaneval,3051,humaneval,3051,1600
gsm8k,3051,gsm8k,8465,1357
finqa,235,finqa,235,1299
gsm8k,235,gsm8k,8466,1353
humaneval,235,humaneval,8467,183
finqa,3962,finqa,3962,2826
gsm8k,3962,gsm8k,8468,1351
finqa,2526,finqa,2526,2411
gsm8k,2526,gsm8k,8469,1351
finqa,1476,finqa,1476,795
gsm8k,1476,gsm8k,8470,1350
humaneval,1476,humaneval,8471,260
gsm8k,3901,gsm8k,3901,1350
humaneval,3901,humaneval,8472,704
finqa,3709,finqa,3709,3298
gsm8k,3709,gsm8k,8473,1345
gsm8k,628,gsm8k,628,1333
humaneval,628,humaneval,8474,280
gsm8k,529,gsm8k,529,1318
finqa,1906,finqa,1906,1931
gsm8k,1906,gsm8k,8475,1307
finqa,3041,finqa,3041,1567
gsm8k,3041,gsm8k,8476,1306
humaneval,3041,humaneval,8477,568
finqa,4077,finqa,4077,973
gsm8k,4077,gsm8k,8478,1301
humaneval,4077,humaneval,8479,669
humaneval,3776,humaneval,3776,3200
gsm8k,3776,gsm8k,8480,1294
finqa,1799,finqa,1799,832
gsm8k,1799,gsm8k,8481,1293
gsm8k,640,gsm8k,640,1289
finqa,809,finqa,809,865
gsm8k,809,gsm8k,8482,1275
humaneval,809,humaneval,8483,1724
finqa,1622,finqa,1622,3600
gsm8k,1622,gsm8k,8484,1270
finqa,845,finqa,845,1081
gsm8k,845,gsm8k,8485,1270
humaneval,845,humaneval,8486,648
gsm8k,83,gsm8k,83,1262
gsm8k,118,gsm8k,118,1258
finqa,3260,finqa,3260,1391
gsm8k,3260,gsm8k,8487,1246
gsm8k,71,gsm8k,71,1242
gsm8k,3043,gsm8k,3043,1238
finqa,2573,finqa,2573,2534
gsm8k,2573,gsm8k,8488,1238
gsm8k,834,gsm8k,834,1227
finqa,2557,finqa,2557,680
gsm8k,2557,gsm8k,8489,1224
gsm8k,657,gsm8k,657,1223
gsm8k,384,gsm8k,384,1222
gsm8k,1344,gsm8k,1344,1216
finqa,1145,finqa,1145,3127
gsm8k,1145,gsm8k,8490,1214
gsm8k,3361,gsm8k,3361,1212
finqa,3876,finqa,3876,1356
gsm8k,3876,gsm8k,8491,1211
finqa,2482,finqa,2482,885
gsm8k,2482,gsm8k,8492,1209
humaneval,2482,humaneval,8493,259
humaneval,1710,humaneval,1710,2651
gsm8k,1710,gsm8k,8494,1209
finqa,1710,finqa,8495,682
finqa,1598,finqa,1598,806
gsm8k,1598,gsm8k,8496,1207
humaneval,2052,humaneval,2052,10276
gsm8k,2052,gsm8k,8497,1202
finqa,2052,finqa,8498,1862
gsm8k,1098,gsm8k,1098,1191
gsm8k,3145,gsm8k,3145,1187
gsm8k,3047,gsm8k,3047,1185
humaneval,3047,humaneval,8499,269
humaneval,2339,humaneval,2339,10337
gsm8k,2339,gsm8k,8500,1177
finqa,2339,finqa,8501,2094
gsm8k,2924,gsm8k,2924,1177
gsm8k,550,gsm8k,550,1174
gsm8k,1846,gsm8k,1846,1170
finqa,2131,finqa,2131,1407
gsm8k,2131,gsm8k,8502,1165
finqa,3639,finqa,3639,999
gsm8k,3639,gsm8k,8503,1163
gsm8k,2950,gsm8k,2950,1159
finqa,126,finqa,126,1145
gsm8k,126,gsm8k,8504,1158
humaneval,732,humaneval,732,2593
gsm8k,732,gsm8k,8505,1154
finqa,732,finqa,8506,1016
finqa,1694,finqa,1694,1302
gsm8k,1694,gsm8k,8507,1154
humaneval,1694,humaneval,8508,219
finqa,846,finqa,846,1159
gsm8k,846,gsm8k,8509,1153
finqa,1478,finqa,1478,1295
gsm8k,1478,gsm8k,8510,1149
humaneval,1478,humaneval,8511,226
humaneval,2025,humaneval,2025,1654
gsm8k,2025,gsm8k,8512,1148
finqa,2656,finqa,2656,831
gsm8k,2656,gsm8k,8513,1144
humaneval,2656,humaneval,8514,619
gsm8k,2349,gsm8k,2349,1142
finqa,1044,finqa,1044,1331
gsm8k,1044,gsm8k,8515,1141
humaneval,1044,humaneval,8516,288
gsm8k,2896,gsm8k,2896,1141
finqa,1033,finqa,1033,514
gsm8k,1033,gsm8k,8517,1139
humaneval,3607,humaneval,3607,1664
gsm8k,3607,gsm8k,8518,1135
finqa,3032,finqa,3032,1388
gsm8k,3032,gsm8k,8519,1129
finqa,1517,finqa,1517,977
gsm8k,1517,gsm8k,8520,1129
gsm8k,1709,gsm8k,1709,1116
gsm8k,3431,gsm8k,3431,1110
finqa,56,finqa,56,782
gsm8k,56,gsm8k,8521,1108
humaneval,56,humaneval,8522,291
gsm8k,3075,gsm8k,3075,1103
gsm8k,3595,gsm8k,3595,1100
gsm8k,3054,gsm8k,3054,1097
finqa,2512,finqa,2512,2990
gsm8k,2512,gsm8k,8523,1076
gsm8k,2105,gsm8k,2105,1074
humaneval,255,humaneval,255,10988
gsm8k,255,gsm8k,8524,1074
finqa,255,finqa,8525,961
gsm8k,209,gsm8k,209,1071
humaneval,2363,humaneval,2363,6436
gsm8k,2363,gsm8k,8526,1065
finqa,2363,finqa,8527,1050
finqa,2591,finqa,2591,2531
gsm8k,2591,gsm8k,8528,1033
gsm8k,1210,gsm8k,1210,1022
humaneval,4079,humaneval,4079,1607
gsm8k,4079,gsm8k,8529,1011
gsm8k,575,gsm8k,575,1009
humaneval,575,humaneval,8530,207
humaneval,801,humaneval,801,1600
gsm8k,801,gsm8k,8531,1003
finqa,801,finqa,8532,513
gsm8k,2027,gsm8k,2027,1003
gsm8k,24,gsm8k,24,1002
gsm8k,176,gsm8k,176,997
gsm8k,131,gsm8k,131,995
gsm8k,2298,gsm8k,2298,994
finqa,3040,finqa,3040,812
gsm8k,3040,gsm8k,8533,994
finqa,925,finqa,925,1329
gsm8k,925,gsm8k,8534,987
gsm8k,3426,gsm8k,3426,986
finqa,958,finqa,958,1267
gsm8k,958,gsm8k,8535,982
gsm8k,999,gsm8k,999,980
finqa,1264,finqa,1264,3084
gsm8k,1264,gsm8k,8536,971
finqa,2866,finqa,2866,1044
gsm8k,2866,gsm8k,8537,967
finqa,1740,finqa,1740,2559
gsm8k,1740,gsm8k,8538,966
gsm8k,2543,gsm8k,2543,964
finqa,3890,finqa,3890,4090
gsm8k,3890,gsm8k,8539,945
humaneval,3890,humaneval,8540,2215
gsm8k,2919,gsm8k,2919,940
gsm8k,989,gsm8k,989,940
gsm8k,1566,gsm8k,1566,937
gsm8k,3432,gsm8k,3432,932
gsm8k,963,gsm8k,963,932
humaneval,963,humaneval,8541,279
finqa,1678,finqa,1678,1011
gsm8k,1678,gsm8k,8542,931
finqa,3251,finqa,3251,1057
gsm8k,3251,gsm8k,8543,927
gsm8k,2863,gsm8k,2863,925
finqa,3798,finqa,3798,2276
gsm8k,3798,gsm8k,8544,923
finqa,3679,finqa,3679,853
gsm8k,3679,gsm8k,8545,914
humaneval,3679,humaneval,8546,1600
gsm8k,2951,gsm8k,2951,909
gsm8k,1085,gsm8k,1085,907
gsm8k,1575,gsm8k,1575,906
finqa,3971,finqa,3971,949
gsm8k,3971,gsm8k,8547,905
gsm8k,427,gsm8k,427,899
gsm8k,1068,gsm8k,1068,894
finqa,893,finqa,893,885
gsm8k,893,gsm8k,8548,892
gsm8k,3629,gsm8k,3629,890
gsm8k,3107,gsm8k,3107,890
finqa,3621,finqa,3621,1255
gsm8k,3621,gsm8k,8549,888
humaneval,3621,humaneval,8550,255
finqa,2219,finqa,2219,737
gsm8k,2219,gsm8k,8551,886
humaneval,2219,humaneval,8552,406
gsm8k,2024,gsm8k,2024,882
humaneval,2024,humaneval,8553,170
finqa,3416,finqa,3416,3926
gsm8k,3416,gsm8k,8554,880
humaneval,3416,humaneval,8555,5548
finqa,1931,finqa,1931,708
gsm8k,1931,gsm8k,8556,869
humaneval,1931,humaneval,8557,1600
finqa,3839,finqa,3839,861
gsm8k,3839,gsm8k,8558,868
gsm8k,1181,gsm8k,1181,864
humaneval,4092,humaneval,4092,1674
gsm8k,4092,gsm8k,8559,862
finqa,4092,finqa,8560,626
gsm8k,354,gsm8k,354,860
humaneval,3228,humaneval,3228,1600
gsm8k,3228,gsm8k,8561,858
finqa,3228,finqa,8562,501
finqa,179,finqa,179,931
gsm8k,179,gsm8k,8563,856
gsm8k,3670,gsm8k,3670,854
gsm8k,48,gsm8k,48,849
finqa,3744,finqa,3744,627
gsm8k,3744,gsm8k,8564,849
humaneval,2091,humaneval,2091,10988
gsm8k,2091,gsm8k,8565,846
finqa,2091,finqa,8566,916
humaneval,1008,humaneval,1008,3751
gsm8k,1008,gsm8k,8567,842
finqa,1008,finqa,8568,919
finqa,3696,finqa,3696,658
gsm8k,3696,gsm8k,8569,841
finqa,3728,finqa,3728,1062
gsm8k,3728,gsm8k,8570,839
humaneval,2448,humaneval,2448,1611
gsm8k,2448,gsm8k,8571,839
gsm8k,486,gsm8k,486,835
humaneval,3000,humaneval,3000,10988
gsm8k,3000,gsm8k,8572,834
finqa,3000,finqa,8573,1104
gsm8k,2829,gsm8k,2829,831
humaneval,1157,humaneval,1157,1624
gsm8k,1157,gsm8k,8574,831
gsm8k,2134,gsm8k,2134,830
finqa,3012,finqa,3012,1137
gsm8k,3012,gsm8k,8575,825
humaneval,2182,humaneval,2182,4485
gsm8k,2182,gsm8k,8576,825
finqa,2182,finqa,8577,651
humaneval,1564,humaneval,1564,11099
gsm8k,1564,gsm8k,8578,824
finqa,1564,finqa,8579,1887
humaneval,243,humaneval,243,5322
gsm8k,243,gsm8k,8580,824
humaneval,1446,humaneval,1446,1600
gsm8k,1446,gsm8k,8581,823
finqa,1446,finqa,8582,514
finqa,1938,finqa,1938,790
gsm8k,1938,gsm8k,8583,822
gsm8k,65,gsm8k,65,820
gsm8k,2777,gsm8k,2777,815
finqa,1283,finqa,1283,753
gsm8k,1283,gsm8k,8584,814
gsm8k,1442,gsm8k,1442,814
finqa,932,finqa,932,873
gsm8k,932,gsm8k,8585,813
gsm8k,597,gsm8k,597,811
gsm8k,1404,gsm8k,1404,811
finqa,1238,finqa,1238,684
gsm8k,1238,gsm8k,8586,809
finqa,1282,finqa,1282,958
gsm8k,1282,gsm8k,8587,808
gsm8k,3403,gsm8k,3403,802
humaneval,2967,humaneval,2967,5359
gsm8k,2967,gsm8k,8588,801
finqa,2967,finqa,8589,617
